group,alphabet,seed_to_target,seed_n,target_n,policy,seed_total,target_total,restored_seeds,blocked_seeds,restoration_rate
limit_target_6_G3_G4,G4_Labbe_19,3->6,3,6,SW,428,10952,273,155,0.6378504672897196
limit_target_6_G3_G4,G4_Labbe_19,3->6,3,6,SE,428,10952,128,300,0.29906542056074764
limit_target_6_G3_G4,G4_Labbe_19,3->6,3,6,CENTER,428,10952,98,330,0.22897196261682243
limit_target_6_G3_G4,G4_Labbe_19,3->6,3,6,ALL_CORNERS,428,10952,356,72,0.8317757009345794
limit_target_6_G3_G4,G4_Labbe_19,3->6,3,6,ANY_EDGE,428,10952,357,71,0.8341121495327103
limit_target_6_G3_G4,G4_Labbe_19,3->6,3,6,ANY_OFFSET,428,10952,357,71,0.8341121495327103
limit_target_6_G3_G4,G4_Labbe_19,4->6,4,6,NW,1955,10952,878,1077,0.44910485933503835
limit_target_6_G3_G4,G4_Labbe_19,4->6,4,6,NE,1955,10952,255,1700,0.13043478260869565
limit_target_6_G3_G4,G4_Labbe_19,4->6,4,6,SW,1955,10952,813,1142,0.4158567774936061
limit_target_6_G3_G4,G4_Labbe_19,4->6,4,6,SE,1955,10952,257,1698,0.13145780051150896
limit_target_6_G3_G4,G4_Labbe_19,4->6,4,6,CENTER,1955,10952,181,1774,0.09258312020460358
limit_target_6_G3_G4,G4_Labbe_19,4->6,4,6,ALL_CORNERS,1955,10952,1115,840,0.5703324808184144
limit_target_6_G3_G4,G4_Labbe_19,4->6,4,6,ANY_EDGE,1955,10952,1115,840,0.5703324808184144
limit_target_6_G3_G4,G4_Labbe_19,4->6,4,6,ANY_OFFSET,1955,10952,1115,840,0.5703324808184144
limit_target_6_G3_G4,G4_Labbe_19,5->6,5,6,NW,3626,10952,2342,1284,0.6458907887479316
limit_target_6_G3_G4,G4_Labbe_19,5->6,5,6,NE,3626,10952,488,3138,0.13458356315499173
limit_target_6_G3_G4,G4_Labbe_19,5->6,5,6,SW,3626,10952,2226,1400,0.6138996138996139
limit_target_6_G3_G4,G4_Labbe_19,5->6,5,6,SE,3626,10952,510,3116,0.14065085493656923
limit_target_6_G3_G4,G4_Labbe_19,5->6,5,6,CENTER,3626,10952,2342,1284,0.6458907887479316
limit_target_6_G3_G4,G4_Labbe_19,5->6,5,6,ALL_CORNERS,3626,10952,2871,755,0.7917815774958632
limit_target_6_G3_G4,G4_Labbe_19,5->6,5,6,ANY_EDGE,3626,10952,2871,755,0.7917815774958632
limit_target_6_G3_G4,G4_Labbe_19,5->6,5,6,ANY_OFFSET,3626,10952,2871,755,0.7917815774958632
